1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15 rate,14 rate,13 rate,12 rate,11 rate,10 rate,9 rate,8 rate,7 rate,6 rate,5 rate,4 rate,3 rate,2 rate,Name,Sum,Rate Sum
7541,2,0,6,16,5,0,9,0,6,0,38,36,15,0,0.0,0.0019584802193497847,0.004722550177095631,0.005009887936717205,0.0,0.0007916611690196596,0.0,0.0011889035667107001,0.0,0.0006609385327164573,0.002119486024639025,0.0007954394803128729,0.0,0.0002652168147460549,The Bahamas,133.0,0.0012508974229505278
86956,181,133,162,168,132,198,181,183,201,137,188,145,178,125,0.001402241342561951,0.0020007868262799976,0.0016325151992794417,0.0021211300658904235,0.0015481100627154076,0.002276485378394908,0.0020769256959970945,0.002058455589673604,0.0022568732047599507,0.0015068493150684932,0.0019214932747735384,0.0018563080096253009,0.001526332097731159,0.0020815124890749344,Bahrain,2312.0,0.0018761441822733001
464932,4491,0,4568,0,1798,3954,2202,2159,1861,0,3213,1355,1799,0,0.0,0.003667439295623332,0.002769952859695244,0.0066115872542261275,0.0,0.0038442152925817594,0.004479764288456152,0.004589957539766083,0.00831040650372329,0.0037933209702293927,0.0,0.009731095408618665,0.0,0.009659477084821006,Bangladesh,27400.0,0.0041040868926957895
276,2,1,2,3,1,0,2,3,0,1,1,0,0,4,0.0136986301369863,0.0,0.0,0.003436426116838488,0.0034482758620689655,0.0,0.010452961672473868,0.007017543859649123,0.0,0.0035211267605633804,0.010676156583629894,0.007168458781362007,0.0035971223021582736,0.007246376811594203,Barbados,20.0,0.005018791349094608
138219,0,1689,3475,0,1896,3674,0,3500,1939,0,3942,1961,0,1853,0.011559936367322748,0.0,0.012385211009637855,0.025532411005751595,0.0,0.012718673951972083,0.023497344800037595,0.0,0.025289270988924757,0.013223324940892574,0.0,0.02483775052177145,0.012219738241486337,0.0,Belarus,23929.0,0.011518832987699786
5854,0,0,1382,147,218,168,184,60,506,286,160,208,122,82,0.008821947283485745,0.013299901885969693,0.023201338538761853,0.018171493469619535,0.03357201549477638,0.06314738549856483,0.007544322897019992,0.02368387179817222,0.02210235495329562,0.02952729242855208,0.0203150912106136,0.2360778954560984,0.0,0.0,Belize,3523.0,0.03567606506535214
3015,0,40,0,0,0,0,18,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005532053368044257,0.005891980360065467,0.0,0.0,0.0,0.0,0.013266998341625208,0.0,Benin,75.0,0.0017636451478382094
410,4,1,3,6,2,4,2,1,0,1,2,1,1,0,0.0,0.002288329519450801,0.0022935779816513763,0.004608294930875576,0.0023094688221709007,0.0,0.0023148148148148147,0.004651162790697674,0.009389671361502348,0.0047169811320754715,0.014354066985645933,0.007228915662650603,0.0024154589371980675,0.00975609756097561,Bhutan,28.0,0.004737631464264941
144708,102,184,192,139,167,68,97,189,214,325,312,333,120,195,0.0013251783893985728,0.0008161599673536013,0.002269985071269351,0.0021313659186392047,0.002225112967273723,0.0014673011258450695,0.0012975689462229759,0.0006663918658972245,0.0004673796497401919,0.001149148460347497,0.000957392586062017,0.001324192725216216,0.0012706304813203508,0.0007048677336429223,Bolivia,2637.0,0.0012909054205877798
87901,1184,1293,2415,0,975,739,437,2373,0,1286,940,763,811,344,0.0034019996637558473,0.008085259107132176,0.007665029183367992,0.009533178503696641,0.013214546276601211,0.0,0.024993680485338725,0.004623996106108542,0.007881153485197509,0.01050725809058873,0.0,0.02672110469362013,0.014514227984509177,0.013469698865769444,Bosnia and Herzegovina,13560.0,0.010329366603263295
10742,0,0,789,0,0,0,527,0,0,443,0,0,0,372,0.029757619390448763,0.0,0.0,0.0,0.03673909437717698,0.0,0.0,0.04570288786748764,0.0,0.0,0.0,0.0734500093092534,0.0,0.0,Botswana,2131.0,0.013260686496026198
151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,Brunei,1.0,0.0004730368968779565
145300,3475,3138,3280,3614,2037,577,2764,3980,3328,3075,3097,1287,497,2095,0.011674626216919571,0.002777281058607895,0.007243970393718515,0.017740937628889602,0.01793076102231578,0.01979008711681979,0.02424094771142309,0.01712292700454092,0.0035873268508617045,0.012826890502307833,0.02328713279593796,0.021591305549887106,0.021092253402789446,0.023916035788024776,Bulgaria,36244.0,0.01605874878878886
2886,45,79,52,29,65,56,103,154,0,110,171,144,136,179,0.04441687344913151,0.03492552645095018,0.0384,0.04777870913663034,0.03170942634765062,0.0,0.04645550527903469,0.03206724782067248,0.017743979721166033,0.021028793270786154,0.009470934030045721,0.01727574750830565,0.026953258273626747,0.015592515592515593,Burkina Faso,1323.0,0.027415608348608265
90713,1476,1411,2920,0,1527,1108,1276,2735,1321,0,2728,0,1127,1170,0.01079913606911447,0.010511588863498577,0.0,0.026108511106644847,0.0,0.01280460616869899,0.0272326273760094,0.012868740860269276,0.011300702724203698,0.015820555325321176,0.0,0.031196581196581197,0.015305513672997864,0.01627109675570205,Myanmar,18799.0,0.013587118579931539
688,1,0,3,0,2,0,4,18,4,0,3,5,1,0,0.0,0.0013736263736263737,0.006915629322268326,0.004166666666666667,0.0,0.00558659217877095,0.025787965616045846,0.005763688760806916,0.0,0.002890173410404624,0.0,0.0043541364296081275,0.0,0.0014534883720930232,Burundi,41.0,0.004163711937877918
10761,55,51,71,58,40,27,35,20,74,11,59,40,55,4,0.00035220568812186317,0.004866395328260485,0.003551767004084532,0.005266446487547978,0.000982844889206576,0.006655873358517719,0.0018021265092809514,0.003163698815872729,0.0024465386009423704,0.0036376864314296106,0.005302614737611995,0.006533541915892151,0.004715236686390532,0.005111049159000093,Cape Verde,600.0,0.003884858972297113
326,3,2,4,10,1,2,2,4,2,1,0,2,0,3,0.008356545961002786,0.0,0.0056022408963585435,0.0,0.0028089887640449437,0.005649717514124294,0.011428571428571429,0.005747126436781609,0.005780346820809248,0.002898550724637681,0.029850746268656716,0.012084592145015106,0.0060790273556231,0.009202453987730062,Cambodia,36.0,0.007534922021668251
24445,42,0,0,265,0,0,0,0,211,0,124,56,0,71,0.002823847591775047,0.0,0.002232231833220393,0.004967351680487121,0.0,0.008524563671622494,0.0,0.0,0.0,0.0,0.010822068852860701,0.0,0.0,0.0017181427694825118,Cameroon,769.0,0.002220586171389162
4913,5,0,0,0,4,0,0,5,0,0,9,0,0,0,0.0,0.0,0.0,0.0018266693728435153,0.0,0.0,0.0010158472165786266,0.0,0.0,0.0008133387555917039,0.0,0.0,0.0,0.0010177081213108082,Central African Republic,23.0,0.0003338259618803325
1688,12,5,3,11,3,3,3,1,3,7,6,6,19,1,0.0005649717514124294,0.010850942318675044,0.0034383954154727794,0.0034502587694077054,0.0040415704387990765,0.001735106998264893,0.0005787037037037037,0.0017391304347826088,0.0017421602787456446,0.0017452006980802793,0.006440281030444965,0.0017595307917888563,0.0029411764705882353,0.0071090047393364926,Chad,83.0,0.0034383167028216215
6315,185,90,112,101,95,78,100,104,112,0,155,95,82,98,0.01285414480587618,0.010872447626624237,0.01275681482476165,0.021256171146461875,0.0,0.015598885793871866,0.014697569248162803,0.014334862385321102,0.01130762539866628,0.013964427458474203,0.015070128319904506,0.016995447647951443,0.013846153846153847,0.02929532858273951,Hong Kong,1407.0,0.014489286220354962
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Macao,0.0,0.0
611,2,0,2,0,1,0,0,1,0,0,0,11,0,0,0.0,0.0,0.017828200972447326,0.0,0.0,0.0,0.0016233766233766235,0.0,0.0,0.0016260162601626016,0.0,0.0032626427406199023,0.0,0.0032733224222585926,Comoros,17.0,0.0019723970727760745
5774,0,0,0,0,0,0,0,0,275,0,0,0,0,151,0.024962803769218053,0.0,0.0,0.0,0.0,0.04762729476965708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Congo,426.0,0.005185007038491081
12772,87,128,145,149,132,114,68,155,246,1,345,0,119,52,0.0035958785699467533,0.008297308604099846,0.0,0.024648138886904338,7.144898542440698e-05,0.01789090909090909,0.01140125045972784,0.005026983070895247,0.008499217177365242,0.009939010616670432,0.011346329576606763,0.011165011165011165,0.009954117738548877,0.006811775759473849,DR Congo,1741.0,0.00918909855011313
139638,534,1168,1165,1180,0,0,2736,1009,1258,1127,1132,0,0,2222,0.014720398550484607,0.0,0.0,0.00755598571571605,0.007579629828903475,0.00853286305365258,0.006891088026990664,0.019041653617287817,0.0,0.0,0.008280411213641627,0.008242535729446724,0.008332619924093256,0.003824173935461694,Costa Rica,13531.0,0.006642954256834178
21331,3,27,28,23,29,44,22,6,34,43,28,21,41,25,0.0011531365313653136,0.0018947271130828596,0.0009714127116291979,0.0012968967114404817,0.001995637443727665,0.0015804397341142565,0.0002789789370902497,0.0010239702117756575,0.0020521430903409354,0.001354380721090977,0.0010753190892514844,0.0013108000561771452,0.0012655854504546732,0.00014064038254184053,Ivory Coast,374.0,0.0012424334417201956
128442,6439,0,8489,0,6983,1886,0,7133,4620,0,8531,3363,1472,0,0.0,0.008369057230251413,0.019493053100166354,0.052020830284404115,0.0,0.028988780965288757,0.0468539598920119,0.0,0.01254381355875839,0.048706144939666594,0.0,0.0629369592455572,0.0,0.05013157689852229,Croatia,48916.0,0.023574584008187644
8284,97,75,75,79,104,68,124,76,124,75,86,87,69,69,0.0073225087551735115,0.0073765234124438745,0.009388151505341535,0.0093671713320989,0.008236327696024599,0.013805388554887553,0.008533572872220974,0.014119790480528353,0.007803534542116135,0.01207897793263647,0.009260344625483532,0.008869441816461683,0.008948812790836416,0.011709319169483342,Cuba,1208.0,0.009772847534695492
10565,318,292,348,289,369,270,416,419,0,363,827,0,625,349,0.023111052248195485,0.04317491019618679,0.0,0.0605905194519745,0.027321993075417734,0.0,0.032563923214424494,0.033410971006344874,0.022165667843362612,0.03123941754148324,0.025080274234140415,0.031140939597315436,0.02683083708536249,0.030099384761003312,Cyprus,4885.0,0.027623563589657955
523298,5176,4568,4621,4743,1773,2654,4237,5857,6406,5872,6217,3657,2000,5172,0.008900683039655537,0.0034537601950683757,0.0063553357362075135,0.010922251210020995,0.01042367480690817,0.011502405162615567,0.010628413813127189,0.007748252208626766,0.004877071698834391,0.0032687691507837305,0.008821510872051824,0.008669110501611505,0.00864375541653894,0.009891113667546981,Czechia,62953.0,0.008150436248542678
80481,1468,1586,3208,0,2115,1745,2046,4708,3132,0,6627,0,2642,3337,0.03040325078809745,0.024664849322230106,0.0,0.06594751664361273,0.0,0.03217025997103444,0.05081544323198307,0.022582033707493128,0.0196380742307952,0.02438237091177386,0.0,0.03840306458370743,0.019353500347777275,0.018240330015780123,Denmark,32614.0,0.02475719241102034
5679,1,2,7,1,2,9,7,9,0,0,8,0,3,5,0.0008729050279329608,0.0005240174672489083,0.0,0.0013993353157250306,0.0,0.0,0.0015767344078486335,0.0012278547623223997,0.0015811665495432186,0.000351493848857645,0.00017577781683951485,0.0012319605772615277,0.00035211267605633805,0.00017608733932030288,Djibouti,54.0,0.0006763889849254629
85,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.011494252873563218,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dominica,3.0,0.0025016903313049357
143988,314,895,812,671,975,798,685,492,2091,0,1864,0,1107,492,0.0031805135365759055,0.007207735130383827,0.0,0.012285708636246796,0.0,0.013974470360221881,0.003298958012042538,0.004614255016739305,0.005404490196742406,0.0066471229888191985,0.0045956071201090345,0.0055924020468742465,0.006202270238804729,0.0021807372836625274,Dominican Republic,11196.0,0.005370305040515886
192685,988,1203,1008,598,909,607,246,508,476,1151,386,759,586,70,0.00034634604918113896,0.002907842242115083,0.0037805394366547955,0.0019263495675694558,0.005777300379464734,0.0023949444533891483,0.002562498738927786,0.0012424367922908312,0.0030751148735251354,0.0046263779888234035,0.003052827183435094,0.005172519961411359,0.006211500828716444,0.0051275397669771905,Ecuador,9495.0,0.0034431527330343998
115911,392,421,432,427,431,418,415,434,421,445,464,478,486,511,0.004203166769483858,0.004013576790625077,0.00396315427282752,0.003861935795317403,0.0037175652871297054,0.003529480805828254,0.0036517539357324965,0.0035041205079708185,0.0035419526496856305,0.0036654958624971297,0.003644713032196388,0.0037010383468695385,0.003619855033834037,0.003381905082347663,Egypt,6175.0,0.003714265298024679
39130,0,0,588,0,413,0,214,396,0,0,422,231,486,252,0.006017191977077364,0.011740832004638354,0.00561183587202099,0.0103581159028988,0.0,0.0,0.009815342669475771,0.005332535944780842,0.0,0.010398308071906944,0.0,0.015026833631484795,0.0,0.0,El Salvador,3002.0,0.00530721400530599
5153,3,0,3,0,0,0,7,0,17,0,2,0,0,0,0.0,0.0,0.0,0.00038587690526721975,0.0,0.0032907471931862176,0.0,0.0013568521031207597,0.0,0.0,0.0,0.0005818463925523662,0.0,0.0005821851348728896,Equatorial Guinea,32.0,0.0004426791234999609
577,0,0,17,38,0,0,17,0,7,0,55,0,0,0,0.0,0.0,0.0,0.08384146341463415,0.0,0.01078582434514638,0.0,0.02689873417721519,0.0,0.0,0.06397306397306397,0.029462738301559793,0.0,0.0,Eritrea,134.0,0.015354416015115679
12497,522,450,470,561,478,248,284,544,544,0,1115,342,330,297,0.016154473755779167,0.01827748546109111,0.019307852989329872,0.06717676828533559,0.0,0.03388563597857232,0.035074145712443584,0.018652305267305925,0.01655761783949793,0.03296551724137931,0.040246789583183874,0.034894943945356,0.03456486673323604,0.04177002480595343,Estonia,6185.0,0.029252030542747443
6419,23,13,19,6,15,6,28,34,49,21,52,29,54,57,0.008421985815602837,0.00804289544235925,0.004338070306656694,0.007839589929142169,0.003176043557168784,0.007466097821118391,0.005207535610353806,0.004307029687740348,0.0009237875288683603,0.0023148148148148147,0.0009267840593141798,0.002943454686289698,0.0020180068301769638,0.003583112634366724,Eswatini,406.0,0.004393514908855216
110074,480,430,595,512,649,555,440,531,568,526,422,515,472,473,0.00405073264308164,0.004058574167863316,0.004448014371836727,0.0036581137309292648,0.004580524931640455,0.004970857472914078,0.004668747527146437,0.003883666534268944,0.004922831293241086,0.005789938532085538,0.004588677080812698,0.005361133136307936,0.0038895019628416884,0.004360702799934589,Ethiopia,7168.0,0.004516572584636028
42,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,Fiji,4.0,0.0066481137909709335
